 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
-0.585382,-5.290138,-8.004115,0.272009,0.438144,-0.126581
-0.357035,-5.279813,-8.236353,0.764154,0.934968,-0.026302
0.117615,-5.524321,-8.512883,0.855905,0.873505,0.06015
0.43365,-5.815815,-7.881562,0.326331,0.297428,0.002298
0.481235,-6.522853,-7.326257,-0.005076,-0.120461,-0.085761
0.101155,-5.988796,-7.051971,-0.227483,0.296321,-0.136808
0.27668,-5.763592,-7.765743,-0.748139,0.613581,-0.277154
0.608127,-5.23178,-7.997232,-0.793183,0.798139,-0.228955
0.031125,-5.491102,-9.081506,-0.660686,0.312535,-0.28573
0.059855,-5.606472,-9.099313,-0.216884,0.12361,-0.287649
-0.310348,-6.893355,-9.436895,0.416461,0.327174,-0.012195
-0.791583,-5.670517,-8.030901,0.971759,1.098426,0.047291
0.23957,-5.381118,-5.381268,0.699251,1.890054,0.075423
0.540042,-6.479009,-5.840356,-0.028424,1.934469,0.019999
2.904017,-6.339846,-8.492533,-0.372237,1.392887,0.171792
3.664475,-6.670545,-9.46817,-0.515215,0.46286,0.489714
4.10845,-6.661716,-9.148993,-0.659335,-0.411269,0.74801
4.118326,-6.137686,-8.81171,-0.794286,-0.621947,0.807044
4.221576,-5.643882,-9.442881,-0.822691,-0.482363,0.634506
4.836138,-5.68159,-10.377218,-0.584341,-0.616069,0.563897
5.878962,-6.202928,-11.32607,-0.120668,-0.725357,0.803549
6.023961,-6.486192,-11.418995,0.42203,-0.787255,1.2908
6.137237,-6.360496,-10.66557,0.795149,-0.68776,1.814839
6.5652,-6.435165,-10.259154,0.912817,-0.522195,2.356671
6.648997,-6.327576,-10.514885,1.127645,-0.42814,2.970184
7.834127,-6.157737,-10.126575,1.49447,-0.219994,3.725504
8.835652,-5.649119,-10.614843,1.988905,0.055861,4.651768
8.895656,-4.36463,-10.83496,2.672241,-0.126872,5.716277
6.754043,-1.718289,-9.742306,3.210821,-0.697934,6.289668
3.122937,0.911592,-7.204602,3.447508,-1.581016,6.279366
-2.930204,1.368286,-1.872116,2.932263,-1.398264,6.058323
-7.786243,2.398092,0.98686,2.087945,-0.199461,5.42572
-12.429348,3.412934,0.745495,1.308535,1.265113,4.714462
-17.238701,7.186944,-1.936311,0.48536,1.209395,3.20301
-18.78745,7.340473,-3.611354,-0.074544,0.440457,2.008222
-23.148189,8.456769,-2.216881,-0.047585,0.963583,0.371153
-22.790555,7.555951,-2.99769,-0.185587,1.771049,-1.465838
-17.074848,5.218462,-5.252579,-0.613958,1.259358,-2.763805
-11.408072,1.973271,-6.294506,-1.106376,0.820614,-3.29074
-8.363695,-0.681599,-7.769035,-1.315487,0.967166,-3.569415
-4.582352,-3.383456,-10.046369,-1.138842,1.052615,-3.714162
