SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835143.231499, 7.249942, -5.843348, -3.514688, 0.061904, -0.113845, -0.054195, , , 
1647835143.251646, 7.590068, -5.752967, -3.285892, 0.196366, -0.399215, 0.027083, , , 
1647835143.271634, 7.642741, -5.746234, -2.930652, 0.218948, -0.556934, 0.129893, , , 
1647835143.291489, 7.503428, -5.738004, -2.879776, 0.157211, -0.579636, 0.168816, , , 
1647835143.311525, 6.972963, -5.616348, -2.863465, 0.046442, -0.356456, 0.091318, , , 
1647835143.331013, 6.978799, -5.696105, -3.038242, -0.040659, -0.080944, -0.011692, , , 
1647835143.351490, 7.513603, -5.777059, -3.196558, -0.112939, 0.083608, -0.081906, , , 
1647835143.371482, 8.091354, -5.740248, -3.360412, -0.164183, 0.063582, -0.074053, , , 
1647835143.391576, 8.763676, -5.732617, -3.753659, -0.113984, 0.027618, 0.015047, , , 
1647835143.411589, 9.029732, -5.477185, -4.009540, 0.015539, -0.008735, 0.138976, , , 
1647835143.431595, 9.064597, -5.308544, -3.941454, 0.120657, -0.010922, 0.262317, , , 
1647835143.451581, 9.235334, -5.244499, -3.644573, 0.130366, 0.039444, 0.350431, , , 
1647835143.471599, 9.663596, -5.166089, -3.664326, 0.096858, 0.031405, 0.431322, , , 
1647835143.491580, 10.148123, -5.203049, -3.827580, 0.109057, 0.090970, 0.563112, , , 
1647835143.511603, 10.450690, -5.101595, -3.906439, 0.150289, 0.209026, 0.709303, , , 
1647835143.531595, 11.134983, -5.176264, -3.970634, 0.219538, 0.274636, 0.877577, , , 
1647835143.551577, 11.498902, -4.811148, -3.919308, 0.243489, 0.250162, 1.101569, , , 
1647835143.571596, 12.258761, -4.872799, -3.943400, 0.266146, 0.264079, 1.415903, , , 
1647835143.591579, 12.015151, -4.535815, -4.048595, 0.253234, 0.316068, 1.740273, , , 
1647835143.611009, 11.916540, -4.546589, -4.051288, 0.192885, 0.429751, 1.972828, , , 
1647835143.631487, 12.053010, -4.442292, -4.228010, 0.114388, 0.668708, 2.295657, , , 
1647835143.651475, 12.085631, -4.238784, -4.525789, 0.060623, 0.906967, 2.724763, , , 
1647835143.671537, 11.436353, -3.980510, -4.753987, 0.018212, 1.047333, 3.223047, , , 
1647835143.691530, 10.212168, -3.683479, -5.086332, 0.063263, 0.942220, 3.718607, , , 
1647835143.710889, 8.747964, -3.459322, -5.061342, 0.191005, 0.765601, 4.170603, , , 
1647835143.731592, 7.063344, -3.255216, -4.523545, 0.285819, 0.752656, 4.560993, , , 
1647835143.751591, 5.250933, -3.222147, -3.626467, 0.179799, 1.031155, 4.873244, , , 
1647835143.771599, 3.408745, -2.934244, -3.232771, -0.055272, 1.502164, 5.155344, , , 
1647835143.791597, 2.023849, -2.796278, -3.777601, -0.188845, 1.747318, 5.438907, , , 
1647835143.811487, -0.798766, -2.224662, -4.987272, -0.039327, 1.535651, 5.378176, , , 
1647835143.831607, -2.622998, -2.214637, -4.741118, 0.212067, 1.593025, 5.123677, , , 
1647835143.851594, -2.794632, -2.157325, -4.710891, 0.322742, 1.700707, 5.201471, , , 
1647835143.871651, -3.967791, -1.837400, -4.294450, 0.407211, 1.647911, 5.549933, , , 
1647835143.891593, -7.173627, -0.783203, -4.195389, 0.647528, 0.934642, 5.388490, , , 
1647835143.911632, -8.657433, -0.593014, -3.591602, 0.916894, 0.067142, 4.817311, , , 
1647835143.931541, -7.801656, -1.280599, -2.911798, 0.964023, -0.717049, 4.726799, , , 
1647835143.951592, -9.444527, -0.960225, -2.179322, 0.954588, -0.435709, 4.854593, , , 
1647835143.971493, -12.438027, -1.009605, -1.993023, 0.736747, 0.199094, 4.479004, , , 
1647835143.991483, -14.607324, -0.682946, -2.144756, 0.440407, 0.611998, 3.781226, , , 
1647835144.011572, -15.182231, -1.863287, -2.220023, 0.342415, 1.377870, 2.806003, , , 
1647835144.031607, -15.004911, -2.489222, -2.092233, 0.334009, 1.707302, 2.225348, , , 
1647835144.051588, -14.433145, -3.033603, -2.006790, 0.264452, 1.721961, 1.708799, , , 
1647835144.071514, -14.008474, -3.316119, -2.028038, 0.084591, 1.404781, 1.261614, , , 
1647835144.091597, -13.601011, -3.537732, -2.016067, -0.050891, 1.223402, 0.939534, , , 
1647835144.111575, -13.395259, -3.743783, -2.051083, -0.123472, 1.361399, 0.640310, , , 
1647835144.131587, -13.403788, -3.957466, -2.290503, -0.208943, 1.441750, 0.228590, , , 
1647835144.151589, -12.748825, -4.271555, -2.520496, -0.307933, 1.289792, -0.113888, , , 
1647835144.171611, -11.822717, -4.418649, -3.044227, -0.354079, 1.011835, -0.338335, , , 
1647835144.191599, -10.940903, -4.604199, -3.354127, -0.341937, 1.019902, -0.428404, , , 
1647835144.211623, -10.229825, -4.666000, -3.682282, -0.339681, 0.891896, -0.444274, , , 
1647835144.231614, -8.786570, -6.127211, -4.314351, -0.303203, 0.686340, -0.363242, , , 
1647835144.251590, -8.516923, -4.956147, -4.137929, -0.353815, 0.330726, -0.381590, , , 
1647835144.271578, -8.398710, -3.929035, -4.442890, -0.270783, 0.319474, -0.551139, , , 
1647835144.291598, -8.265233, -3.267786, -5.090821, 0.010564, 0.365120, -0.655623, , , 
1647835144.311580, -7.258172, -4.619911, -5.856068, 0.362962, 0.282852, -0.605983, , , 
1647835144.331608, -7.333889, -4.592079, -5.481225, 0.594605, 0.045800, -0.636511, , , 
1647835144.351613, -6.944980, -4.397101, -4.472219, 0.630727, -0.173889, -0.639149, , , 
1647835144.371653, -6.456114, -5.102044, -3.418471, 0.487033, -0.126966, -0.462078, , , 
1647835144.391615, -6.326528, -5.517887, -3.161543, 0.337770, -0.104535, -0.324351, , , 
1647835144.411633, -6.267421, -5.233575, -3.196708, 0.249457, -0.058617, -0.224847, , , 
1647835144.431582, -6.290017, -5.453094, -3.646070, 0.262932, -0.079027, -0.165490, , , 
1647835144.451608, -6.686107, -5.572654, -3.479074, 0.277891, -0.010012, -0.170421, , , 
1647835144.471652, -7.057059, -5.534347, -2.997690, 0.234205, 0.271983, -0.159258, , , 
1647835144.491619, -6.959346, -5.646874, -3.269282, 0.173203, 0.264630, -0.182891, , , 
1647835144.511651, -7.065289, -5.752967, -3.654300, 0.118908, 0.123024, -0.251324, , , 
1647835144.531587, -7.133374, -5.761048, -3.409194, 0.041214, 0.345119, -0.263104, , , 
1647835144.551648, -7.178864, -5.614702, -3.331532, -0.031453, 0.492424, -0.275619, , , 
1647835144.571575, -6.991368, -5.846341, -3.699640, -0.088087, 0.417149, -0.305272, , , 
1647835144.591617, -6.597522, -5.867889, -3.808127, -0.129589, 0.353027, -0.212744, , , 
1647835144.611629, -6.459257, -5.887043, -4.053982, -0.134393, 0.349723, -0.086812, , , 
1647835144.631568, -6.869713, -5.699247, -4.267365, -0.085853, 0.308387, -0.079214, , , 
1647835144.651520, -7.085640, -5.674258, -4.601656, -0.030396, 0.158706, -0.140585, , , 
1647835144.671585, -6.918046, -5.569512, -4.537611, 0.004454, 0.257944, -0.127132, , , 
