 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
-5.372439,-5.704485,-6.768857,0.33917,-0.247083,0.296284
-5.280112,-5.778855,-6.880636,0.402876,-0.408243,0.197461
-5.174319,-5.726033,-6.691345,0.445884,-0.477825,0.156873
-5.196166,-5.893178,-6.575675,0.470901,-0.498657,0.171665
-5.295675,-5.906495,-6.560262,0.520365,-0.491393,0.192894
-5.423914,-6.04087,-6.385336,0.55846,-0.488385,0.181999
-5.676502,-6.15654,-6.549638,0.630783,-0.475184,0.192896
-5.997475,-5.929689,-6.462848,0.72958,-0.407729,0.121802
-5.999869,-6.015432,-5.994183,0.67729,-0.315439,0.068334
-6.03249,-5.967548,-5.552902,0.535453,-0.207973,0.049984
-6.418855,-5.897966,-5.558289,0.402193,-0.132913,-0.027187
-6.840384,-5.822399,-5.667824,0.353827,-0.013952,-0.128159
-7.203554,-5.765537,-5.517887,0.322729,0.160888,-0.227887
-7.407061,-5.697452,-5.521478,0.265082,0.231126,-0.324445
-7.710227,-5.681291,-5.615899,0.222019,0.163653,-0.477961
-8.067113,-5.724985,-5.732317,0.220542,0.035902,-0.624809
-8.447941,-5.746084,-5.939416,0.288172,-0.070011,-0.787075
-8.603564,-5.741445,-5.747281,0.319046,-0.119916,-1.020685
-8.396016,-5.86729,-5.559636,0.245898,-0.216359,-1.284382
-8.182932,-6.124517,-5.728427,0.181308,-0.442006,-1.467514
-8.72911,-6.21026,-5.663933,0.164028,-0.443759,-1.650555
-8.869919,-5.855319,-5.907244,0.238181,-0.411534,-1.852662
-8.736591,-4.824316,-6.037877,0.225552,-0.541621,-2.131882
-8.26224,-5.034258,-6.109105,0.145114,-0.786519,-2.265731
-8.850017,-4.842572,-6.4208,0.115423,-1.025696,-2.530625
-9.272893,-4.252701,-7.058256,0.108771,-1.3788,-2.976436
-9.154529,-3.923049,-6.761525,0.107443,-1.278669,-3.3671
-8.693047,-3.106177,-6.713042,0.014544,-1.178272,-3.733999
-8.051401,-2.707393,-7.162404,0.052209,-1.281668,-4.424689
-6.36289,-2.416348,-7.863456,0.17544,-1.489087,-4.987406
-4.119374,-1.484405,-7.745242,0.268503,-1.443818,-5.469218
-0.867748,-1.035492,-7.682095,0.397885,-1.339105,-5.693675
0.888548,-0.651821,-7.717859,0.484128,-1.575622,-5.622368
6.319944,-0.729932,-7.12679,0.435256,-1.714096,-5.207584
7.763199,-0.957381,-6.466439,0.308634,-1.540455,-4.738506
8.598326,-1.353023,-6.033987,0.231082,-1.050199,-4.438994
10.143185,-1.614739,-6.081272,0.298559,-0.626884,-3.992032
11.21474,-2.136077,-6.39207,0.550546,-0.52803,-3.519969
12.769325,-2.902221,-5.356877,0.626903,-0.590408,-2.963079
13.742269,-3.961656,-4.670788,0.481847,-1.07422,-2.311087
13.75424,-4.716727,-4.722862,0.398987,-1.393886,-1.664209
12.880955,-4.981585,-4.635474,0.332159,-1.295011,-1.105074
11.47885,-5.568165,-4.786458,0.281791,-1.075903,-0.744301
9.969007,-5.767033,-4.878485,0.252947,-0.79071,-0.627939
9.375095,-6.477064,-4.575768,0.042738,-0.573194,-0.424258
8.399757,-6.44983,-4.567089,-0.181074,-0.172666,-0.228075
7.200861,-6.063166,-5.090522,-0.282133,0.24,-0.235903
6.909666,-5.543924,-5.770774,-0.161638,0.59631,-0.216852
7.256526,-5.574899,-6.01214,0.062373,0.724925,-0.06237
7.345411,-5.74758,-5.733514,0.267284,0.632296,0.187765
6.695086,-5.981314,-5.037101,0.336073,0.475553,0.27751
6.204873,-6.215946,-4.38498,0.292784,0.271263,0.20894
6.146065,-6.469133,-4.083909,0.197588,0.13098,0.210782
5.894674,-6.503849,-4.013281,0.113665,0.134719,0.221294
5.717054,-6.560262,-4.185513,0.072285,0.105439,0.21954
5.642235,-6.516718,-4.452018,0.096177,-0.002215,0.225932
5.450699,-6.552631,-4.569932,0.149203,-0.11886,0.214867
5.236568,-6.629694,-4.499603,0.165185,-0.210669,0.15555
5.328445,-6.710947,-4.282329,0.13711,-0.210069,0.135097
5.419874,-6.823175,-4.192247,0.059791,-0.195764,0.145549
5.272182,-6.864326,-4.252252,-0.007142,-0.127434,0.12527
5.200655,-6.766762,-4.548983,-0.019943,-0.058939,0.07362
5.38007,-6.702268,-4.757129,0.018786,-0.065839,0.067622
5.590012,-6.748357,-4.828805,0.041733,-0.158784,0.108018
5.444415,-6.875549,-4.774038,0.065009,-0.1813,0.149241
5.124938,-6.764518,-4.754436,0.095036,-0.153818,0.118156
5.024831,-6.769306,-4.634277,0.116761,-0.057483,0.076541
5.009568,-6.753594,-4.410419,0.073509,0.058268,0.025183
5.312135,-6.770503,-4.37705,0.012929,0.05442,0.006287
5.686977,-6.845771,-4.53387,0.007072,0.000516,0.044435
5.703737,-6.830358,-4.440646,0.004174,-0.012155,0.144968
5.336526,-6.862829,-4.444835,0.00814,-0.018407,0.162758
5.224148,-6.877045,-4.474913,-0.016973,-0.08017,0.120023
5.315128,-6.900239,-4.424934,-0.08522,-0.142878,0.088555
5.453692,-6.925079,-4.523545,-0.155109,-0.1828,0.116987
5.463867,-6.942437,-4.809801,-0.163288,-0.230984,0.143585
5.351789,-6.917298,-5.008371,-0.136882,-0.25086,0.176351
5.177162,-6.888417,-5.135413,-0.077241,-0.217253,0.181399
4.828656,-6.896498,-5.071817,-0.029568,-0.16382,0.122465
4.828955,-6.906224,-5.001787,-0.015864,-0.065748,0.089084
4.868011,-6.918794,-4.870854,-0.012629,0.067626,0.095444
4.964976,-6.975806,-4.911256,-0.022154,0.043175,0.11524
4.896292,-6.99466,-4.867262,-0.025415,0.000409,0.123351
4.803666,-6.972514,-4.941932,-0.022819,-0.05997,0.102545
4.747702,-7.076362,-4.92188,-0.017631,-0.120852,0.086161
4.515913,-7.086089,-4.925022,-0.02225,-0.158542,0.007021
4.52968,-7.016956,-4.82297,-0.037942,-0.038182,-0.035101
4.685752,-6.950966,-4.962731,-0.035875,0.083198,-0.022771
4.770896,-6.968922,-5.150975,0.010569,0.045313,-0.007272
