SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835207.028330, -5.458780, -6.896199, -5.768380, 0.160323, -0.007860, 0.180171, , , 
1647835207.048407, -4.957344, -7.091326, -5.616797, 0.172705, -0.242317, 0.225313, , , 
1647835207.068255, -5.080496, -7.099556, -5.226093, 0.111603, -0.123884, 0.235103, , , 
1647835207.088284, -5.399074, -7.017405, -5.166986, 0.064574, 0.112362, 0.158113, , , 
1647835207.107804, -5.416432, -6.974010, -5.454740, 0.088797, 0.083418, 0.088103, , , 
1647835207.128292, -5.067178, -6.936750, -5.553351, 0.140392, -0.083261, 0.092246, , , 
1647835207.148275, -4.856937, -6.896947, -5.499481, 0.198539, -0.242383, 0.107823, , , 
1647835207.168289, -4.831649, -6.911013, -5.265897, 0.164397, -0.270689, 0.094062, , , 
1647835207.188318, -4.930110, -6.836044, -4.962133, 0.052589, -0.125831, 0.066563, , , 
1647835207.207811, -4.914847, -6.772299, -5.080646, -0.013179, -0.059981, 0.066606, , , 
1647835207.228403, -4.822072, -6.838887, -5.399224, 0.027794, -0.117805, 0.074940, , , 
1647835207.248406, -4.821174, -6.884527, -5.585523, 0.100982, -0.204323, 0.076938, , , 
1647835207.268499, -4.903026, -6.861333, -5.466411, 0.137504, -0.197776, 0.056246, , , 
1647835207.288298, -4.905420, -6.909666, -5.185542, 0.093319, -0.096704, 0.025786, , , 
1647835207.307888, -4.997447, -6.936301, -5.020940, 0.027971, 0.009978, -0.018450, , , 
1647835207.328402, -4.952406, -6.938845, -5.263952, 0.033750, -0.005741, -0.035897, , , 
1647835207.348399, -4.847809, -6.950367, -5.417629, 0.073553, -0.033980, -0.035593, , , 
1647835207.368404, -4.863970, -6.990919, -5.326500, 0.084736, -0.054609, -0.044874, , , 
1647835207.388309, -4.908413, -6.942137, -5.206491, 0.068579, -0.014636, -0.045287, , , 
1647835207.407890, -4.851700, -6.939893, -5.122694, 0.048003, 0.044382, -0.035495, , , 
1647835207.428389, -4.903325, -6.974459, -5.161450, 0.046389, 0.045663, -0.041627, , , 
1647835207.448386, -4.906467, -7.031022, -5.150975, 0.059408, 0.031602, -0.065201, , , 
1647835207.468405, -4.899135, -6.998251, -5.105485, 0.036490, 0.008345, -0.075369, , , 
1647835207.488305, -4.960636, -6.999299, -5.069722, 0.013810, 0.048772, -0.093059, , , 
1647835207.507492, -4.964078, -7.023690, -5.078850, -0.011191, 0.060240, -0.104630, , , 
1647835207.528390, -4.868609, -7.020547, -5.230732, -0.017507, 0.005316, -0.107053, , , 
1647835207.548383, -4.830152, -7.019799, -5.169231, -0.009721, 0.013965, -0.088584, , , 
1647835207.568363, -4.828955, -7.031172, -5.251232, -0.006539, -0.024135, -0.078725, , , 
1647835207.588317, -4.937143, -7.066785, -5.246594, 0.003386, -0.060543, -0.080470, , , 
1647835207.607862, -5.107580, -7.031920, -5.221305, -0.004980, -0.050433, -0.111536, , , 
1647835207.628290, -5.184344, -7.106290, -5.049521, -0.025426, 0.075759, -0.119661, , , 
1647835207.648274, -5.295076, -7.095366, -5.177311, -0.047929, 0.058013, -0.155511, , , 
1647835207.668283, -5.053860, -7.112724, -5.347150, -0.015431, -0.140695, -0.198652, , , 
1647835207.688309, -5.083189, -7.031321, -5.061492, -0.024443, -0.146921, -0.173014, , , 
1647835207.707867, -5.276970, -7.094917, -5.167136, -0.048164, -0.057653, -0.187214, , , 
1647835207.728292, -5.365705, -7.160309, -5.278766, -0.032244, -0.012598, -0.235475, , , 
1647835207.748276, -5.291784, -7.232883, -5.403414, 0.004211, -0.069680, -0.294785, , , 
1647835207.768290, -5.344157, -7.269096, -5.327997, 0.041411, -0.101802, -0.307806, , , 
1647835207.788280, -5.500678, -7.240066, -5.321263, 0.072179, -0.102374, -0.346981, , , 
1647835207.807865, -5.441871, -7.253982, -5.267393, 0.086364, -0.096682, -0.374914, , , 
1647835207.828290, -5.715708, -7.317877, -5.177311, 0.071132, -0.122065, -0.430942, , , 
1647835207.848277, -6.131251, -7.334338, -5.150826, 0.014923, -0.123818, -0.543228, , , 
1647835207.868288, -6.387580, -7.296030, -5.294478, 0.022434, 0.006435, -0.713771, , , 
1647835207.888288, -6.280141, -7.373543, -5.266346, 0.025828, 0.142857, -0.861781, , , 
1647835207.907788, -6.158485, -7.360973, -5.395483, 0.022473, 0.151392, -0.946863, , , 
1647835207.927636, -6.384887, -7.300070, -5.665429, 0.047490, -0.032962, -1.050186, , , 
1647835207.948275, -6.752397, -7.301567, -5.660192, 0.057227, -0.131882, -1.170713, , , 
1647835207.968303, -7.115717, -7.267749, -5.908142, 0.117779, -0.172976, -1.329412, , , 
1647835207.988294, -7.373393, -7.600692, -5.908142, 0.198801, -0.148380, -1.509542, , , 
1647835208.007902, -7.668478, -7.557447, -5.943456, 0.230212, -0.068478, -1.744895, , , 
1647835208.028268, -7.211934, -7.819463, -6.194398, 0.233956, 0.005281, -1.829879, , , 
1647835208.048289, -8.018481, -6.461501, -7.065588, 0.259156, -0.196980, -2.073609, , , 
1647835208.068386, -8.842385, -5.291335, -7.883807, 0.446874, -0.491210, -2.549380, , , 
1647835208.088290, -7.574506, -6.123171, -8.156147, 0.804071, -0.601842, -3.019056, , , 
1647835208.107801, -6.972963, -5.266795, -7.240814, 1.025872, -0.462055, -3.437254, , , 
1647835208.128267, -5.745336, -4.829853, -6.303185, 0.808137, -0.576117, -3.921232, , , 
1647835208.148343, -4.774936, -4.342633, -6.296152, 0.756340, -0.780294, -4.097762, , , 
1647835208.168303, -4.024503, -3.950882, -6.873753, 0.938793, -1.061018, -4.289658, , , 
1647835208.188292, -2.930802, -3.776703, -6.852355, 1.186834, -1.341761, -4.626800, , , 
1647835208.207850, -0.984466, -3.184587, -6.173898, 1.246527, -1.687770, -4.840044, , , 
1647835208.227549, 2.158971, -2.831592, -5.309441, 1.167228, -2.105638, -4.585940, , , 
1647835208.248299, 4.735731, -3.159448, -5.371990, 1.249858, -2.446328, -4.212836, , , 
1647835208.267933, 6.684012, -3.269881, -4.979939, 1.366198, -2.642932, -3.903732, , , 
1647835208.288287, 8.658930, -3.252523, -4.403236, 1.288039, -3.175956, -3.449635, , , 
1647835208.307792, 10.020632, -3.602525, -5.096358, 1.283487, -4.105639, -2.815521, , , 
1647835208.327910, 9.492860, -3.870227, -5.919963, 1.326651, -4.260589, -2.652623, , , 
1647835208.348288, 8.648156, -3.693954, -5.770924, 1.008589, -3.684810, -2.762162, , , 
1647835208.368302, 8.758738, -3.375525, -5.094861, 0.478272, -2.336750, -2.780115, , , 
1647835208.388295, 9.625439, -3.411139, -5.507562, 0.177900, -1.165260, -2.551127, , , 
1647835208.407794, 10.794109, -3.493140, -6.356755, 0.184614, -0.642261, -2.135483, , , 
1647835208.428034, 11.295544, -3.548955, -6.408380, 0.325753, -0.681546, -1.688855, , , 
1647835208.448291, 11.889007, -3.822642, -6.317700, 0.521392, -1.000425, -1.135461, , , 
1647835208.468304, 11.950807, -4.437054, -5.905149, 0.642768, -1.404772, -0.589988, , , 
1647835208.488303, 10.240898, -4.476858, -5.422567, 0.579132, -1.328109, -0.406224, , , 
1647835208.507798, 9.017012, -4.542998, -4.579659, 0.266963, -0.842918, -0.429119, , , 
1647835208.528298, 7.946056, -4.745757, -4.765808, 0.023396, -0.506352, -0.433735, , , 
1647835208.548288, 8.157045, -5.840505, -5.312135, -0.024995, -0.329369, -0.293525, , , 
1647835208.568300, 7.810035, -5.617246, -5.359720, -0.037441, -0.086040, -0.099536, , , 
1647835208.587864, 7.465719, -5.815217, -4.969614, -0.142309, 0.121288, 0.033539, , , 
1647835208.607799, 6.940192, -5.777358, -5.027823, -0.214616, 0.312326, 0.109659, , , 
1647835208.628294, 6.812551, -6.023362, -4.783166, -0.245355, 0.601602, 0.297193, , , 
1647835208.648124, 6.417358, -6.090400, -4.893150, -0.211591, 0.588614, 0.445192, , , 
1647835208.668304, 5.868338, -6.333561, -5.255422, -0.133613, 0.301715, 0.415546, , , 
1647835208.688298, 5.351490, -6.334609, -5.119402, -0.044634, 0.169651, 0.337059, , , 
1647835208.707803, 5.562179, -6.460155, -5.091569, 0.034625, -0.040975, 0.288303, , , 
1647835208.728345, 5.691915, -6.555324, -5.076007, 0.074934, -0.181061, 0.266699, , , 
1647835208.748302, 5.492897, -6.599168, -4.836736, 0.074221, -0.056986, 0.260064, , , 
1647835208.768303, 5.288642, -6.553528, -4.758476, 0.060709, 0.070643, 0.241001, , , 
1647835208.788384, 5.124340, -6.593033, -5.019294, 0.131306, 0.133777, 0.173490, , , 
1647835208.807958, 5.047576, -6.614281, -5.074510, 0.246334, 0.205664, 0.125872, , , 
1647835208.828302, 5.147085, -6.783821, -4.745757, 0.312935, 0.282667, 0.125365, , , 
1647835208.848290, 5.192724, -6.866121, -4.528632, 0.328338, 0.298184, 0.117924, , , 
1647835208.868117, 5.263503, -6.937349, -4.312406, 0.306175, 0.244078, 0.098278, , , 
1647835208.888319, 5.388749, -6.996755, -4.053533, 0.240480, 0.222450, 0.091867, , , 
1647835208.907784, 5.352687, -7.001992, -3.974225, 0.158507, 0.224642, 0.091854, , , 
1647835208.928290, 5.351639, -6.948871, -4.155436, 0.123386, 0.171463, 0.064815, , , 
1647835208.948292, 5.324555, -6.891410, -4.215441, 0.141326, 0.198347, 0.038854, , , 
1647835208.968298, 5.360019, -6.878392, -4.024803, 0.150889, 0.266558, 0.030786, , , 
1647835208.988293, 5.342661, -6.963236, -3.872771, 0.140848, 0.241038, 0.002829, , , 
1647835209.007789, 5.408053, -6.972065, -3.842993, 0.109104, 0.137940, -0.020998, , , 
1647835209.028376, 5.479579, -6.936900, -3.837606, 0.092976, 0.123503, -0.036201, , , 
1647835209.048307, 5.576694, -6.882881, -3.863493, 0.075365, 0.112711, -0.044864, , , 
1647835209.068303, 5.779304, -6.942886, -3.855712, 0.069870, 0.041745, -0.021776, , , 
1647835209.088292, 5.680692, -6.960393, -3.756502, 0.033533, 0.003459, 0.012672, , , 
1647835209.107860, 5.502474, -6.910713, -3.733159, -0.034191, 0.056646, -0.010984, , , 
1647835209.128366, 5.561730, -6.867618, -3.945495, -0.074020, 0.091728, -0.043153, , , 
1647835209.148280, 5.723040, -6.869264, -4.128501, -0.057096, 0.068468, -0.050331, , , 
1647835209.168301, 5.877167, -6.920739, -4.153341, -0.022075, 0.018182, -0.001982, , , 
1647835209.188300, 5.830180, -6.902483, -4.086603, -0.008776, -0.006660, 0.038589, , , 
1647835209.207791, 5.827337, -6.877344, -4.165013, 0.006358, -0.012409, 0.063669, , , 
1647835209.228307, 5.826140, -6.792350, -4.432864, 0.045811, -0.124126, 0.051609, , , 
1647835209.248284, 5.917269, -6.828712, -4.455609, 0.096884, -0.136605, 0.083529, , , 
1647835209.268297, 5.921759, -6.893505, -4.520103, 0.143049, -0.115620, 0.133608, , , 
1647835209.288291, 5.644181, -6.902034, -4.384681, 0.133171, -0.018765, 0.133340, , , 
