 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
-8.417863,-1.937957,-4.53387,0.083901,0.074589,0.005483
-8.423849,-1.957559,-4.653879,0.050959,0.019451,0.013647
-8.556428,-1.917157,-4.60824,0.030309,0.008369,-0.017814
-8.578125,-1.92419,-4.540903,0.011504,0.030949,-0.040581
-8.4029,-1.968183,-4.576666,-0.012404,0.037548,-0.026907
-8.268974,-1.99437,-4.733337,-0.022978,0.02055,0.018162
-8.388534,-2.007837,-4.814291,-0.012653,0.010715,0.026385
-8.58875,-1.96145,-4.789301,0.002301,0.020361,-0.011135
-8.590545,-1.914015,-4.797382,0.013426,0.014653,-0.045817
-8.325387,-1.998261,-4.774038,0.016882,0.011479,-0.04048
-8.296657,-2.069937,-4.752191,0.014598,0.026187,0.000235
-8.389732,-2.051831,-4.839879,0.009091,0.020393,0.023143
-8.496124,-1.975815,-4.857237,0.01971,-0.00392,0.015842
-8.527997,-1.931971,-4.774188,0.036258,0.007902,-0.010893
-8.506,-1.963395,-4.741417,0.037942,0.028464,-0.033593
-8.402451,-2.044648,-4.76925,0.021169,0.02494,-0.027773
-8.350676,-2.048688,-4.829105,-0.001753,-0.012079,-0.005301
-8.384644,-1.980903,-4.824167,0.007006,-0.028368,-0.001136
-8.419061,-1.987337,-4.771345,0.028617,-0.003868,-0.003087
-8.454375,-2.00694,-4.751443,0.049909,0.015284,-0.01
-8.439262,-2.036119,-4.75668,0.034185,0.005883,-0.008676
-8.416367,-2.026692,-4.726304,0.015911,-0.009959,-0.006091
-8.408287,-2.018162,-4.723012,0.003621,-0.017468,-0.003251
-8.406641,-2.004246,-4.683358,0.003222,-0.003797,-0.004136
-8.413374,-2.031779,-4.727202,0.003605,0.011234,-0.003087
-8.404097,-2.005892,-4.762067,-0.000301,-0.008362,0.000128
-8.413973,-2.009184,-4.749348,0.005061,-0.001849,0.006031
-8.446893,-2.004845,-4.732738,0.011328,0.008951,0.012778
-8.465897,-1.978658,-4.774487,-0.002489,-0.000844,0.010103
-8.501062,-1.930475,-4.76506,-0.007778,-0.023913,-0.004337
-8.495825,-1.933916,-4.732588,-0.003076,9.7e-05,-0.018707
-8.453328,-2.004246,-4.772691,-0.001902,0.006096,-0.018151
-8.407688,-2.033126,-4.825962,-0.013611,-0.017722,-0.004132
-8.479963,-1.971326,-4.857237,0.000531,-0.031478,-0.00166
-8.5265,-1.94499,-4.766556,0.029327,-0.012779,-0.026977
-8.461707,-2.004845,-4.698172,0.041897,0.02935,-0.041999
-8.344691,-2.041207,-4.694581,0.027346,0.018771,-0.031827
-8.308628,-2.104054,-4.680515,0.004625,-0.011123,-0.005591
-8.359355,-2.087145,-4.664803,-0.017946,-0.014497,0.016205
-8.441357,-2.034473,-4.687398,-0.01417,-0.014314,0.011872
-8.408287,-1.998111,-4.665551,-0.011113,0.00199,-0.000462
-8.36579,-2.026841,-4.681562,-0.003257,0.015109,0.00541
-8.389432,-2.049437,-4.6865,-0.01865,0.013196,0.024522
-8.503157,-2.006341,-4.723161,-0.041242,-0.010672,0.02341
-8.533384,-1.929876,-4.71957,-0.038866,-0.009011,0.003434
-8.51004,-1.909675,-4.78152,-0.024808,-0.0126,-0.009097
-8.487295,-1.920299,-4.774936,-0.020574,0.000519,-0.021135
-8.476821,-1.984793,-4.803966,-0.019808,-0.008441,-0.012929
-8.467244,-2.001403,-4.836287,-0.014225,-0.02263,-0.012795
-8.490288,-1.972972,-4.849455,0.009231,-0.011096,-0.023554
-8.499416,-1.963096,-4.785261,0.035871,0.019312,-0.040233
-8.439411,-1.9818,-4.721665,0.032195,0.020864,-0.045017
-8.363844,-2.015768,-4.685752,0.009698,0.009531,-0.034171
-8.397213,-2.103755,-4.619014,-0.02342,0.004548,-0.02276
-8.431181,-2.079514,-4.674379,-0.036647,0.00066,-0.022597
-8.37791,-2.044499,-4.76925,-0.028081,0.00289,-0.012818
-8.339154,-2.018462,-4.862025,0.00287,0.010695,-0.001956
-8.378359,-2.026841,-4.838981,0.028246,0.024854,0.00718
-8.407538,-2.007688,-4.812345,0.037534,0.016105,0.010788
-8.428787,-2.00245,-4.693683,0.003525,0.005412,0.015767
-8.447791,-1.968034,-4.738125,-0.030944,-0.023334,0.015055
-8.484751,-1.953369,-4.762366,-0.034486,-0.01438,0.000881
-8.508993,-1.935712,-4.834641,-0.010968,-0.011074,-0.016148
