 AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ
-2.722656,-8.458116,-4.706402,0.0372,-0.021947,0.06534
-2.376395,-8.511686,-4.522497,0.075076,-0.096928,0.170596
-2.495955,-8.436718,-4.321833,0.086499,-0.160762,0.283169
-2.822464,-8.493281,-4.256741,0.111955,-0.189486,0.390492
-3.097498,-8.503905,-4.393061,0.157785,-0.231811,0.51987
-3.622726,-8.497471,-4.409371,0.218406,-0.311921,0.662818
-4.449025,-8.500763,-4.583998,0.332113,-0.459887,0.681504
-5.486463,-8.540716,-4.487332,0.420916,-0.923737,0.518018
-6.667253,-9.043049,-4.114436,0.547031,-1.033751,0.312671
-7.103596,-8.630798,-3.459322,0.414023,-0.857368,0.096872
-8.762928,-8.117092,-3.516035,0.268952,-0.566268,-0.486694
-9.105747,-7.538892,-3.794211,0.329154,-0.227824,-1.274864
-8.48535,-7.941268,-4.388422,0.396208,-0.195949,-1.909759
-8.178144,-8.279,-4.774637,0.537837,-0.255412,-2.517963
-8.228273,-7.909844,-5.564574,0.710493,-0.547063,-3.237725
-8.293066,-7.028927,-5.996128,1.068497,-0.734237,-4.289848
-7.003339,-6.397008,-5.325153,1.340971,-0.692511,-5.343174
-4.786159,-5.770026,-3.664176,1.294404,-0.476728,-6.173293
-2.063203,-4.171747,-2.270451,0.970822,-0.207755,-6.706943
0.144999,-2.472013,-2.20087,0.710369,0.318695,-7.040434
2.107496,-0.429011,-1.751209,0.796745,1.312826,-7.344634
6.094889,0.702698,-0.382773,0.914376,2.202315,-7.230558
14.959122,-1.121683,2.663849,0.776207,2.754729,-6.057676
21.836466,-2.029684,6.243629,-0.659737,2.108954,-3.772941
24.03165,-2.586785,4.631433,-1.781114,0.693149,-1.530104
18.975395,-0.907103,-1.393126,-1.405769,-1.157175,0.734965
16.222512,-0.791284,-2.601001,-0.452373,-1.636468,1.754297
14.618397,-1.503259,-1.745822,0.222615,-1.712055,2.608296
13.992014,-2.380884,-0.393697,0.393986,-1.532437,3.722214
12.58557,-3.34036,0.084396,0.227698,-1.706856,4.866434
10.567856,-4.598513,-0.020051,-0.076481,-2.181244,5.87272
7.75437,-4.834342,-0.004639,-0.417126,-2.290782,6.664332
4.951209,-4.06311,0.026336,-0.882685,-2.075706,7.289241
2.121861,-1.980603,-0.490362,-1.159466,-1.615498,7.799597
-0.482282,-0.258723,-0.048782,-1.282855,-1.121738,8.246032
-6.117784,-1.93646,0.140809,-1.98608,-0.750264,7.683172
-13.358897,-6.233903,-3.190872,-2.650109,-0.714028,5.622807
-17.859098,-5.513697,-7.139809,-2.157953,-0.09871,3.239125
-19.560628,-6.106262,-9.961226,-1.007756,1.112732,1.29707
-20.718523,-8.583213,-11.905617,-0.159418,1.147979,-0.728726
-19.949386,-7.220613,-12.840552,0.581397,0.311529,-2.766424
-16.644789,-6.183624,-13.119477,1.628924,-0.582877,-4.217525
-13.714885,-4.917391,-10.32275,2.335808,-1.205252,-5.307771
-11.691036,-3.612252,-6.973112,2.396196,-1.485309,-6.328287
-11.206809,-2.04809,-3.927389,2.213275,-1.272043,-7.861746
-6.870012,0.198569,-1.904737,1.661819,-1.079014,-9.014259
-1.707964,1.752406,-0.966509,1.186005,-0.374315,-9.247008
2.428469,4.772093,-0.480636,1.247809,1.523074,-8.762233
7.639149,4.15813,-0.900669,2.031174,2.679244,-7.915893
14.615554,-0.837971,0.798167,2.283975,1.614941,-6.736834
22.507591,-4.427328,4.297742,0.622334,-0.997753,-4.476559
23.610569,-2.449119,4.114436,-0.994288,-2.315473,-2.040597
18.931551,-1.165078,-0.202909,-1.086899,-1.236799,-0.573839
15.052944,0.96202,-1.803582,-0.780452,0.06412,0.090389
14.634258,0.884508,-3.098695,-0.401863,0.068811,0.524407
15.544654,-0.092326,-3.583521,0.082245,-0.775344,1.135835
16.913089,-0.765097,-2.209698,0.340252,-1.08752,2.23291
17.507151,-1.550844,-0.661249,0.309635,-0.714525,3.714733
16.822708,-2.03582,-0.741305,0.238911,-0.704919,5.27078
13.866019,-2.395698,-0.634314,0.217319,-0.646532,6.504903
11.483938,-2.050035,-0.124798,0.000905,-0.611429,7.793313
8.771906,-0.929698,0.51206,-0.436972,-0.503066,9.208886
6.638672,4.093786,0.714071,-1.214151,-0.088181,10.855124
0.980575,8.859743,-1.975665,-1.671558,1.052676,12.010309
-9.991752,4.825663,-6.376507,-1.101403,2.84926,11.162067
-30.873081,-3.583372,-13.816489,-0.157068,0.552018,5.412546
-34.00754,-7.069479,-16.101754,2.251022,-2.458134,0.407278
-23.82515,-9.970802,-4.582801,1.663404,-2.843975,-1.650002
-18.385972,-6.525846,1.266682,-0.098115,-1.037224,-2.46972
-15.522208,-5.971737,-1.444901,-0.521579,0.641394,-3.112538
-15.171757,-6.480505,-5.680992,0.081837,-0.089638,-4.404771
-14.25777,-5.660192,-4.7691,0.663029,-1.208195,-5.984318
-13.486388,-3.628712,-1.852813,0.609235,-2.050836,-7.708161
-10.449344,-0.691625,0.116717,-0.292225,-2.480875,-9.071218
-3.695001,2.115277,-0.119261,-1.486783,-1.483137,-9.498142
1.217452,3.524414,-1.231218,-1.512982,1.338529,-9.373387
6.921338,3.306991,-1.681328,-0.887339,3.231406,-8.80283
14.8237,0.418087,-1.158045,-0.496506,2.423369,-7.446278
20.606594,-1.365293,-1.869722,-0.737405,-0.835243,-5.113019
20.438102,-1.43697,-2.417246,-1.00231,-3.175827,-2.94394
16.774974,-1.225981,-3.515885,-0.825452,-2.719444,-1.646535
14.705187,-0.259023,-3.095254,-0.77232,-0.78294,-1.005
14.714464,0.128389,-4.139275,-0.743583,0.320807,-0.3901
15.100679,-0.200215,-5.9252,-0.244802,0.221895,0.294107
15.059379,-0.454449,-5.552603,0.173012,0.079507,1.102251
14.447211,-0.942118,-4.391415,0.278064,0.51397,1.871306
14.550012,-1.370082,-3.722535,0.255235,1.516881,2.856589
14.608521,-1.884087,-3.532196,0.163891,2.33539,3.901178
14.670321,-1.850269,-3.104082,-0.027004,2.423879,5.089036
14.331242,-1.52765,-2.815282,-0.251442,1.519784,6.571367
12.653805,-1.371129,-2.576311,-0.408891,0.295869,7.957174
7.258771,0.788291,-0.312144,-1.122037,-0.652425,9.154689
5.141398,2.13054,0.087538,-1.502041,-0.560428,9.458472
-3.328838,4.634576,-1.54411,-2.201884,1.291412,9.405442
-7.132776,2.795979,-2.870498,-2.155745,2.206306,7.541624
-16.589872,-5.857714,-9.424476,-1.849481,1.468694,4.346961
-15.962741,-7.160459,-12.162096,-0.469916,0.811296,1.971365
-13.067253,-7.877672,-9.741408,0.38213,0.639761,0.504244
-8.257003,-7.517045,-6.326528,0.218454,0.540902,0.089088
-4.91365,-6.940791,-5.234024,-0.178234,0.405113,0.523487
-4.630835,-6.745214,-6.039523,-0.274195,0.091508,0.936469
-5.953931,-6.904728,-7.137265,0.003887,-0.254895,0.91773
-7.29199,-7.111976,-6.686706,0.175952,-0.975202,0.377648
-7.941866,-8.220491,-4.077924,0.25793,-0.903482,-0.127455
-7.132925,-7.762151,-3.305794,0.003706,-0.705175,-0.312609
-4.961534,-7.642591,-3.813365,-0.103815,-0.108798,-0.090898
-4.692635,-7.879467,-4.274099,-0.160601,0.230886,0.003332
-4.440346,-7.827543,-4.874445,-0.088849,0.288017,-0.01056
-3.991583,-7.729231,-5.274576,0.036438,0.17163,-0.045781
-3.676147,-7.936479,-5.177611,0.093034,-0.004336,-0.084012
-3.515586,-7.964013,-4.893,0.065265,-0.100635,-0.122245
-3.436128,-7.897125,-4.794239,0.010226,-0.088323,-0.138074
-3.451691,-7.921216,-4.866813,-0.01885,-0.029498,-0.141466
-3.500622,-7.870938,-4.899883,-0.019582,0.011902,-0.143828
-3.48491,-7.826346,-4.934001,0.03899,0.01259,-0.113401
-3.529203,-7.859117,-4.786009,0.078381,0.024961,-0.054416
-3.677045,-7.85358,-4.614225,0.07743,0.058739,-0.016565
-3.780744,-7.889343,-4.606594,0.064558,0.114073,-0.010922
-3.746626,-7.89488,-4.63682,0.064985,0.173518,-0.006379
-3.698293,-7.923012,-4.554969,0.048543,0.230019,-0.0047
-3.591452,-7.932888,-4.527585,0.020265,0.250541,0.013565
-3.544017,-7.913734,-4.666748,0.007227,0.219316,0.018853
-3.51379,-7.915231,-4.791546,0.009868,0.152831,0.010032
-3.512892,-7.914782,-4.818181,0.021193,0.082295,-0.004807
-3.525612,-7.89892,-4.728698,0.018007,0.030485,-0.006275
-3.557933,-7.887997,-4.61647,-0.002403,0.03641,-0.000659
-3.604171,-7.933935,-4.65762,-0.026046,0.040161,-0.002332
-3.582324,-7.941567,-4.757578,-0.018878,0.01934,-0.008003
-3.532196,-7.889493,-4.940435,0.08542,-0.097051,-0.018773
-3.52232,-8.007856,-4.563049,0.043261,-0.062119,0.000947
-3.610606,-7.950844,-4.546739,0.008693,0.109996,0.014467
