SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1647835810.155146, 2.451662, -6.655282, -6.805518, -0.115546, -0.062357, -0.006800, , , 
1647835810.175123, 2.425626, -6.614730, -6.988076, -0.056300, 0.015822, -0.005596, , , 
1647835810.195162, 2.481740, -6.550087, -7.220613, 0.014518, 0.041041, -0.008190, , , 
1647835810.215129, 2.386869, -6.557269, -7.098658, 0.019765, 0.058223, -0.018810, , , 
1647835810.235143, 2.382680, -6.604555, -6.888268, -0.021153, 0.046366, -0.024646, , , 
1647835810.255135, 2.325219, -6.602460, -6.652289, -0.080156, 0.054347, -0.032763, , , 
1647835810.275123, 2.332252, -6.561609, -6.638822, -0.106608, 0.069269, -0.043784, , , 
1647835810.295209, 2.378190, -6.543652, -6.649895, -0.126784, 0.095062, -0.050103, , , 
1647835810.315116, 2.463185, -6.564153, -6.759131, -0.141961, 0.090957, -0.056017, , , 
1647835810.335171, 2.572270, -6.507440, -6.999748, -0.125999, 0.062915, -0.050113, , , 
1647835810.355204, 2.506729, -6.498312, -7.157616, -0.099852, 0.075325, -0.046566, , , 
1647835810.375083, 2.499098, -6.507590, -7.166743, -0.061983, 0.116131, -0.047727, , , 
1647835810.395137, 2.573617, -6.479458, -7.240964, -0.022670, 0.142916, -0.037940, , , 
1647835810.415114, 2.678962, -6.487089, -7.253533, 0.001724, 0.126328, -0.028199, , , 
1647835810.435141, 2.699612, -6.489783, -7.156867, -0.010609, 0.070690, -0.023253, , , 
1647835810.455131, 2.644096, -6.473472, -7.078308, -0.028786, 0.015817, -0.028905, , , 
1647835810.475123, 2.642301, -6.467786, -7.052121, -0.033688, 0.000979, -0.032164, , , 
1647835810.495130, 2.586037, -6.467786, -6.988824, -0.025267, 0.000423, -0.027909, , , 
1647835810.515224, 2.550573, -6.456264, -6.891111, -0.027634, 0.013816, -0.034878, , , 
1647835810.535173, 2.593070, -6.440702, -6.859837, -0.042754, 0.027445, -0.036190, , , 
1647835810.555214, 2.607136, -6.412121, -6.806416, -0.064528, 0.046305, -0.048912, , , 
1647835810.575153, 2.649633, -6.413917, -6.835745, -0.102685, 0.063509, -0.056172, , , 
1647835810.595141, 2.705149, -6.420351, -6.843526, -0.130380, 0.092425, -0.062185, , , 
1647835810.615197, 2.683302, -6.419752, -6.985981, -0.131761, 0.128903, -0.055507, , , 
1647835810.634736, 2.713229, -6.347926, -7.145644, -0.112212, 0.101383, -0.072588, , , 
1647835810.655129, 2.579603, -6.347178, -7.035212, -0.094892, 0.110880, -0.078442, , , 
1647835810.675211, 2.529923, -6.317700, -6.853253, -0.099788, 0.144527, -0.105554, , , 
1647835810.695225, 2.452560, -6.233603, -6.539014, -0.142882, 0.210553, -0.147310, , , 
1647835810.715224, 2.402581, -6.161029, -6.334160, -0.216359, 0.339013, -0.212970, , , 
1647835810.735213, 2.694524, -6.224775, -6.287622, -0.290803, 0.450550, -0.280262, , , 
1647835810.755223, 3.401412, -6.047155, -7.038803, -0.349381, 0.453471, -0.286104, , , 
1647835810.775206, 3.812317, -6.187066, -8.008605, -0.283111, 0.194342, -0.206065, , , 
1647835810.795169, 3.517382, -6.258742, -7.984064, -0.221061, 0.034911, -0.173684, , , 
1647835810.814796, 3.430143, -6.266524, -7.890840, -0.188033, 0.050396, -0.216390, , , 
1647835810.835221, 3.938911, -6.367080, -8.304887, -0.107964, 0.141011, -0.252396, , , 
1647835810.855224, 5.699846, -6.953959, -9.059659, 0.008742, 0.285969, -0.117360, , , 
1647835810.875205, 7.011420, -7.306056, -10.369587, 0.279670, 0.196557, 0.251932, , , 
1647835810.895216, 7.952042, -7.438934, -12.079346, 0.691532, -0.077815, 0.600660, , , 
1647835810.915209, 8.891766, -7.994389, -12.772318, 1.171908, -0.284316, 1.140628, , , 
1647835810.935227, 8.925733, -7.603386, -12.817508, 1.628309, -0.248069, 1.521068, , , 
1647835810.955227, 9.986215, -8.105420, -12.856414, 2.116369, -0.316679, 2.157909, , , 
1647835810.975207, 9.439140, -7.402572, -12.379220, 2.542909, -0.562934, 2.807752, , , 
1647835810.995220, 7.674763, -6.636428, -10.609007, 2.951544, -0.567021, 3.222318, , , 
1647835811.015230, 6.000318, -5.787983, -9.204658, 3.252395, -0.159446, 3.463492, , , 
1647835811.035222, 3.997419, -5.010615, -8.380155, 3.665251, 0.184147, 3.626716, , , 
1647835811.055168, 1.908328, -4.151246, -6.574029, 4.006401, 0.325004, 3.542941, , , 
1647835811.075133, 0.159963, -4.422090, -3.530400, 3.999660, 0.410941, 3.514502, , , 
